"Package announcement","Paketankündigung"
"Package Notification","Paketankündigung"
"Preferred Delivery Date","Wunschtermin"
"Ask customer for DHL account number to use delivery date service.","Frage den Kunden nach seiner Postnummer, um den Wunschtermin-Service zu nutzen."
"No parcel pick up machines are allowed in billing address. To send to a parcel pick up machine you should enter it as shipping address.","Bei der Rechnungsadresse sind keine Packstationen zulässig. Für den Versand an die Packstation verwenden Sie bitte die Versandadresse."
"DHL keeps you informed about the planned delivery day via email.","DHL informiert Sie per E-Mail über den geplanten Zustelltag Ihrer Sendung."
"DHL wants to deliver your parcel but you are not at home?","DHL möchte Ihr Paket zustellen, Sie sind aber nicht zu Hause?"
"You can move the delivery date for your parcel by up to four working days. To do this, simply log in to your Paket.de account.","Verschieben Sie die Zustellung einfach um bis zu 4 Tage - ganz bequem über Ihr Paket.de Kundenkonto."
"In order to use this service, please provide your PostNumber with your order.","Wenn Sie den Service nutzen möchten, geben Sie bitte bei Ihrer Bestellung Ihre DHL PostNummer an."
"street address", "Hausanschrift"
"DHL account number", "Postnummer"
"Please enter 6 to 10 digits.", "Bitte geben Sie 6 bis 10 Ziffern ein."
"DHL customer account number", "Kundennummer bei DHL"
"Ship to Packstation", "Versand an Packstation"
"Please enter 3 digits.", "Bitte geben Sie eine dreistellige Zahl ein."
"Only 3 digits are allowed for packstations.", "Es sind nur dreistellige Zahlen für Packstationen erlaubt."
"Only 6 to 10 digits are allowed for DHL account number.", "Für die Postnummer sind nur 6 bis 10 stellige Zahlen erlaubt."
"Based on your selection, the DHL account number field will be cleared. Continue?","Aufgrund Ihrer Auswahl wird das Postnummer-Eingabefeld geleert. Fortfahren?"
"Shipping to Packstation is not allowed, if the service parcel announcement is used.", "Der Versand an eine Packstation ist nicht möglich, wenn der Service Paketankündigung genutzt wird."
"Search for Packstation", "Packstationssuche"
"Number of DHL Packstation", "Nummer der DHL Packstation"
"URL of Packstation finder", "URL des Packstationsfinders"
"address.unknown", "Unter der Kombination aus PLZ und Ort konnten keine Packstationen gefunden werden"
"too.many.results", "Die Suche nach Packstationen lieferte zu viele Ergebnisse"
"service is unavailable", "Dienst ist nicht verfügbar"
"Please select a Packstation", "Bitte Packstation auswählen"
"Please select", "Bitte wählen"
"Address is ambigious", "Unter der Kombination aus PLZ und Ort konnten keine Packstationen gefunden werden"
"No data transmitted", "Es wurden weder Postleitzahl noch Ort übertragen"
"Shipping to Packstation is not allowed, if parcel announcement is used.", "Der Versand an eine Packstation ist nicht zulässig, falls die Paketankündigung genutzt wird."
"Enables the separate packstation input and packstation finder.", "Aktivieren der Packstationseingabe und des Packstationsfinders."
"Production URL","URL Live-Modus"
"Sandbox URL","URL Test-Modus"
"Find Packstation", "Packstation finden"
"distance", "Entfernung"
"If a different shipping address is used, the parcel announcement will be skipped.", "Falls eine abweichende Lieferadresse genutzt wird, wird die Paketankündigung gelöscht."
"Click 'OK' to skip the parcel announcement, click 'cancel' to edit your shipping address.", "Klicken Sie 'OK' um die Paketankündigung zu löschen oder 'Abbrechen' um die Lieferadresse zu bearbeiten."
"The fields zipcode und city are used for locating the Packstation.","Die Felder PLZ und Stadt werden für die Packstationssuche genutzt."
"Postcode and city are used for searching.","Für die Suche werden PLZ und Stadt genutzt."
"Apply", "Übernehmen"
"An error occured while retrieving the packstation data.","Während des Abrufs der Packstationsdaten ist ein Fehler aufgetreten."
"Please provide city or zip code in order to perform packstation request.","Bitte geben Sie für die Packstationssuche Stadt oder PLZ an."
"Parcel announcement","Paketankündigung"
"Inform the customer about shipping date via email.","Informiert den Kunden über den geplanten Zustellungstermin per Email."